Date, Open, High, Low, Close, Volume
06/04/21, 86.29, 86.30, 86.29, 86.30, 2060560
06/03/21, 86.28, 86.29, 86.27, 86.27, 1607825
06/02/21, 86.31, 86.31, 86.29, 86.30, 1235014
06/01/21, 86.29, 86.31, 86.29, 86.29, 2265796
05/28/21, 86.315, 86.33, 86.31, 86.32, 2054734
05/27/21, 86.305, 86.32, 86.30, 86.32, 1257851
05/26/21, 86.32, 86.32, 86.31, 86.32, 1810651
05/25/21, 86.295, 86.31, 86.29, 86.30, 2403859
05/24/21, 86.29, 86.30, 86.28, 86.30, 2565564
05/21/21, 86.295, 86.30, 86.28, 86.28, 1822359
05/20/21, 86.279, 86.30, 86.27, 86.30, 4010986
05/19/21, 86.295, 86.30, 86.26, 86.26, 5213506
05/18/21, 86.29, 86.29, 86.28, 86.29, 3419218
05/17/21, 86.27, 86.29, 86.27, 86.28, 3860980
05/14/21, 86.28, 86.29, 86.28, 86.28, 3836409
05/13/21, 86.27, 86.28, 86.26, 86.28, 5497188
05/12/21, 86.24, 86.26, 86.24, 86.26, 4113077
05/11/21, 86.28, 86.29, 86.27, 86.27, 2629953
05/10/21, 86.29, 86.30, 86.28, 86.28, 2483740
05/07/21, 86.31, 86.32, 86.30, 86.31, 1950378
05/06/21, 86.288, 86.29, 86.27, 86.28, 1981393
05/05/21, 86.26, 86.28, 86.26, 86.28, 1301938
05/04/21, 86.26, 86.28, 86.26, 86.26, 1972896
05/03/21, 86.255, 86.27, 86.25, 86.26, 2910393
04/30/21, 86.26, 86.28, 86.26, 86.28, 2367555
04/29/21, 86.25, 86.27, 86.24, 86.27, 1552872
04/28/21, 86.24, 86.26, 86.23, 86.25, 2032696
04/27/21, 86.247, 86.25, 86.23, 86.23, 1473029
04/26/21, 86.255, 86.26, 86.24, 86.24, 1265841
04/23/21, 86.285, 86.29, 86.26, 86.26, 1535169
04/22/21, 86.27, 86.28, 86.26, 86.28, 4373501
04/21/21, 86.285, 86.29, 86.27, 86.29, 2061005
